country,year,age_bin,sex,population
korea,1950,25-29,female,735565
korea,1950,30-34,male,652043
korea,1950,30-34,female,613678
korea,1950,35-39,male,589925
korea,1950,35-39,female,552259
korea,1950,40-44,male,488270
korea,1950,40-44,female,459063
korea,1950,45-49,male,393673
korea,1950,45-49,female,380476
korea,1950,50-54,male,340893
korea,1950,50-54,female,340741
korea,1950,55-59,male,294192
korea,1950,55-59,female,322327
korea,1950,60-64,male,485605
korea,1950,60-64,female,590121
korea,1950,65-69,male,0
korea,1950,65-69,female,0
korea,1950,70-74,male,0
korea,1950,70-74,female,0
korea,1950,75-79,male,0
korea,1950,75-79,female,0
korea,1950,80-84,male,0
korea,1950,80-84,female,0
korea,1950,85+,male,0
korea,1950,85+,female,0
korea,1955,0-4,male,1742778
korea,1955,0-4,female,1633870
korea,1955,5-9,male,1495871
korea,1955,5-9,female,1371517
korea,1955,10-14,male,1371568
korea,1955,10-14,female,1249453
korea,1955,15-19,male,1256904
korea,1955,15-19,female,1138007
korea,1955,20-24,male,808143
korea,1955,20-24,female,946257
korea,1955,25-29,male,635243
korea,1955,25-29,female,803884
korea,1955,30-34,male,679017
korea,1955,30-34,female,710431
korea,1955,35-39,male,585542
korea,1955,35-39,female,583037
korea,1955,40-44,male,530158
korea,1955,40-44,female,523904
korea,1955,45-49,male,496405
korea,1955,45-49,female,451476
korea,1955,50-54,male,337483
korea,1955,50-54,female,342418
korea,1955,55-59,male,295560
korea,1955,55-59,female,319434
korea,1955,60-64,male,217405
korea,1955,60-64,female,263101
korea,1955,65-69,male,156405
korea,1955,65-69,female,203113
korea,1955,70-74,male,80971
korea,1955,70-74,female,110771
korea,1955,75-79,male,0
korea,1955,75-79,female,0
korea,1955,80-84,male,0
korea,1955,80-84,female,0
korea,1955,85+,male,0
korea,1955,85+,female,0
korea,1960,0-4,male,1820312
korea,1960,0-4,female,1729252
korea,1960,5-9,male,1958379
korea,1960,5-9,female,1823172
korea,1960,10-14,male,1480279
korea,1960,10-14,female,1341976
korea,1960,15-19,male,1248791
korea,1960,15-19,female,1134363
korea,1960,20-24,male,1175602
korea,1960,20-24,female,1103847
korea,1960,25-29,male,916751
korea,1960,25-29,female,996435
korea,1960,30-34,male,727096
korea,1960,30-34,female,829238
korea,1960,35-39,male,687559
korea,1960,35-39,female,729178
korea,1960,40-44,male,598867
korea,1960,40-44,female,588603
korea,1960,45-49,male,518017
korea,1960,45-49,female,515744
korea,1960,50-54,male,444283
korea,1960,50-54,female,440293
korea,1960,55-59,male,318745
korea,1960,55-59,female,345793
korea,1960,60-64,male,257447
korea,1960,60-64,female,309124
korea,1960,65-69,male,174206
korea,1960,65-69,female,230526
korea,1960,70-74,male,120719
korea,1960,70-74,female,173283
korea,1960,75-79,male,55635
korea,1960,75-79,female,85028
korea,1960,80-84,male,25744
korea,1960,80-84,female,42696
korea,1960,85+,male,8186
korea,1960,85+,female,15983
korea,1965,0-4,male,2318664
korea,1965,0-4,female,2162257
korea,1965,5-9,male,2391295
korea,1965,5-9,female,2221577
korea,1965,10-14,male,1857472
korea,1965,10-14,female,1732555
korea,1965,15-19,male,1399246
korea,1965,15-19,female,1308900
korea,1965,20-24,male,1203321
korea,1965,20-24,female,1095362
korea,1965,25-29,male,1116120
korea,1965,25-29,female,1128214
korea,1965,30-34,male,975994
korea,1965,30-34,female,983780
korea,1965,35-39,male,734345
korea,1965,35-39,female,818450
korea,1965,40-44,male,659331
korea,1965,40-44,female,687495
korea,1965,45-49,male,559889
korea,1965,45-49,female,556646
korea,1965,50-54,male,465588
korea,1965,50-54,female,482044
korea,1965,55-59,male,376426
korea,1965,55-59,female,412297
korea,1965,60-64,male,248035
korea,1965,60-64,female,302918
korea,1965,65-69,male,182750
korea,1965,65-69,female,254634
korea,1965,70-74,male,104987
korea,1965,70-74,female,162301
korea,1965,75-79,male,62232
korea,1965,75-79,female,109437
korea,1965,80-84,male,20423
korea,1965,80-84,female,39207
korea,1965,85+,male,7932
korea,1965,85+,female,17416
korea,1970,0-4,male,2228736
korea,1970,0-4,female,2087407
korea,1970,5-9,male,2349086
korea,1970,5-9,female,2182856
korea,1970,10-14,male,2274301
korea,1970,10-14,female,2119047
korea,1970,15-19,male,1573179
korea,1970,15-19,female,1514955
korea,1970,20-24,male,1298687
korea,1970,20-24,female,1224483
korea,1970,25-29,male,1096819
korea,1970,25-29,female,1107474
korea,1970,30-34,male,1108853
korea,1970,30-34,female,1084426
korea,1970,35-39,male,915069
korea,1970,35-39,female,939131
korea,1970,40-44,male,691062
korea,1970,40-44,female,770841
korea,1970,45-49,male,628934
korea,1970,45-49,female,655694
korea,1970,50-54,male,506554
korea,1970,50-54,female,517981
korea,1970,55-59,male,407895
korea,1970,55-59,female,447146
korea,1970,60-64,male,302362
korea,1970,60-64,female,362896
korea,1970,65-69,male,181431
korea,1970,65-69,female,253284
korea,1970,70-74,male,120835
korea,1970,70-74,female,194609
korea,1970,75-79,male,60931
korea,1970,75-79,female,114485
korea,1970,80-84,male,26355
korea,1970,80-84,female,57481
korea,1970,85+,male,8526
korea,1970,85+,female,21441
korea,1975,0-4,male,2189456
korea,1975,0-4,female,2037904
korea,1975,5-9,male,2302542
korea,1975,5-9,female,2151156
korea,1975,10-14,male,2348676
korea,1975,10-14,female,2178654
korea,1975,15-19,male,2124156
korea,1975,15-19,female,2022756
korea,1975,20-24,male,1611767
korea,1975,20-24,female,1511359
korea,1975,25-29,male,1271743
korea,1975,25-29,female,1235707
korea,1975,30-34,male,1131486
korea,1975,30-34,female,1092752
korea,1975,35-39,male,1111449
korea,1975,35-39,female,1077695
korea,1975,40-44,male,885250
korea,1975,40-44,female,914903
korea,1975,45-49,male,649961
korea,1975,45-49,female,748859
korea,1975,50-54,male,576664
korea,1975,50-54,female,620715
korea,1975,55-59,male,449224
korea,1975,55-59,female,489981
korea,1975,60-64,male,334479
korea,1975,60-64,female,403073
korea,1975,65-69,male,229780
korea,1975,65-69,female,313047
korea,1975,70-74,male,123219
korea,1975,70-74,female,201994
korea,1975,75-79,male,68241
korea,1975,75-79,female,136049
korea,1975,80-84,male,26304
korea,1975,80-84,female,64613
korea,1975,85+,male,10843
korea,1975,85+,female,32509
korea,1980,0-4,male,1963963
korea,1980,0-4,female,1830729
korea,1980,5-9,male,2282813
korea,1980,5-9,female,2138133
korea,1980,10-14,male,2293386
korea,1980,10-14,female,2146751
korea,1980,15-19,male,2186973
korea,1980,15-19,female,2052756
korea,1980,20-24,male,2067729
korea,1980,20-24,female,1985909
korea,1980,25-29,male,1540965
korea,1980,25-29,female,1541207
korea,1980,30-34,male,1293533
korea,1980,30-34,female,1225708
korea,1980,35-39,male,1127158
korea,1980,35-39,female,1096183
korea,1980,40-44,male,1080457
korea,1980,40-44,female,1051194
korea,1980,45-49,male,868659
korea,1980,45-49,female,913154
korea,1980,50-54,male,609166
korea,1980,50-54,female,716759
korea,1980,55-59,male,521797
korea,1980,55-59,female,603556
korea,1980,60-64,male,373222
korea,1980,60-64,female,448835
korea,1980,65-69,male,260597
korea,1980,65-69,female,359686
korea,1980,70-74,male,161867
korea,1980,70-74,female,263229
korea,1980,75-79,male,74175
korea,1980,75-79,female,155111
korea,1980,80-84,male,31546
korea,1980,80-84,female,86661
korea,1980,85+,male,11296
korea,1980,85+,female,41946
korea,1985,0-4,male,1922758
korea,1985,0-4,female,1779797
korea,1985,5-9,male,2025353
korea,1985,5-9,female,1890997
korea,1985,10-14,male,2310570
korea,1985,10-14,female,2165415
korea,1985,15-19,male,2227322
korea,1985,15-19,female,2088942
korea,1985,20-24,male,2185720
korea,1985,20-24,female,2059370
korea,1985,25-29,male,2027185
korea,1985,25-29,female,2043223
korea,1985,30-34,male,1589610
korea,1985,30-34,female,1525628
korea,1985,35-39,male,1324369
korea,1985,35-39,female,1256812
korea,1985,40-44,male,1108685
korea,1985,40-44,female,1078823
korea,1985,45-49,male,1042989
korea,1985,45-49,female,1046223
korea,1985,50-54,male,809619
korea,1985,50-54,female,885640
korea,1985,55-59,male,560580
korea,1985,55-59,female,707177
korea,1985,60-64,male,440387
korea,1985,60-64,female,566489
korea,1985,65-69,male,306710
korea,1985,65-69,female,416107
korea,1985,70-74,male,190553
korea,1985,70-74,female,310701
korea,1985,75-79,male,103513
korea,1985,75-79,female,208577
korea,1985,80-84,male,36163
korea,1985,80-84,female,101497
korea,1985,85+,male,15140
korea,1985,85+,female,60588
korea,1990,0-4,male,1726863
korea,1990,0-4,female,1552927
korea,1990,5-9,male,1999001
korea,1990,5-9,female,1853507
korea,1990,10-14,male,2054494
korea,1990,10-14,female,1937423
korea,1990,15-19,male,2267129
korea,1990,15-19,female,2181867
korea,1990,20-24,male,2294290
korea,1990,20-24,female,2102019
korea,1990,25-29,male,2160912
korea,1990,25-29,female,2172588
korea,1990,30-34,male,2142825
korea,1990,30-34,female,2064889
korea,1990,35-39,male,1648205
korea,1990,35-39,female,1553005
korea,1990,40-44,male,1315182
korea,1990,40-44,female,1224087
korea,1990,45-49,male,1100966
korea,1990,45-49,female,1075924
korea,1990,50-54,male,994511
korea,1990,50-54,female,1015507
korea,1990,55-59,male,760993
korea,1990,55-59,female,861860
korea,1990,60-64,male,494845
korea,1990,60-64,female,662214
korea,1990,65-69,male,375752
korea,1990,65-69,female,524562
korea,1990,70-74,male,233308
korea,1990,70-74,female,361808
korea,1990,75-79,male,127905
korea,1990,75-79,female,249266
korea,1990,80-84,male,54861
korea,1990,80-84,female,140451
korea,1990,85+,male,18830
korea,1990,85+,female,75496
korea,1995,0-4,male,1821350
korea,1995,0-4,female,1606059
korea,1995,5-9,male,1626922
korea,1995,5-9,female,1469193
korea,1995,10-14,male,1913801
korea,1995,10-14,female,1798179
korea,1995,15-19,male,1987044
korea,1995,15-19,female,1876447
korea,1995,20-24,male,2237940
korea,1995,20-24,female,2066438
korea,1995,25-29,male,2078417
korea,1995,25-29,female,2059496
korea,1995,30-34,male,2146351
korea,1995,30-34,female,2083888
korea,1995,35-39,male,2103016
korea,1995,35-39,female,2030848
korea,1995,40-44,male,1579850
korea,1995,40-44,female,1491251
korea,1995,45-49,male,1261509
korea,1995,45-49,female,1202786
korea,1995,50-54,male,1028887
korea,1995,50-54,female,1034881
korea,1995,55-59,male,923625
korea,1995,55-59,female,989836
korea,1995,60-64,male,673719
korea,1995,60-64,female,821363
korea,1995,65-69,male,420873
korea,1995,65-69,female,623106
korea,1995,70-74,male,293696
korea,1995,70-74,female,468848
korea,1995,75-79,male,160498
korea,1995,75-79,female,295175
korea,1995,80-84,male,71267
korea,1995,80-84,female,174924
korea,1995,85+,male,28370
korea,1995,85+,female,103448
korea,2000,0-4,male,1641166
korea,2000,0-4,female,1489092
korea,2000,5-9,male,1813446
korea,2000,5-9,female,1612610
korea,2000,10-14,male,1615013
korea,2000,10-14,female,1449429
korea,2000,15-19,male,1913885
korea,2000,15-19,female,1777699
korea,2000,20-24,male,2028206
korea,2000,20-24,female,1819980
korea,2000,25-29,male,2057321
korea,2000,25-29,female,2039657
korea,2000,30-34,male,2068202
korea,2000,30-34,female,2025026
korea,2000,35-39,male,2117492
korea,2000,35-39,female,2069461
korea,2000,40-44,male,2029413
korea,2000,40-44,female,1966923
korea,2000,45-49,male,1496104
korea,2000,45-49,female,1455919
korea,2000,50-54,male,1185239
korea,2000,50-54,female,1165011
korea,2000,55-59,male,959680
korea,2000,55-59,female,1008792
korea,2000,60-64,male,836465
korea,2000,60-64,female,952384
korea,2000,65-69,male,593974
korea,2000,65-69,female,782148
korea,2000,70-74,male,348226
korea,2000,70-74,female,569895
korea,2000,75-79,male,211347
korea,2000,75-79,female,389251
korea,2000,80-84,male,94135
korea,2000,80-84,female,209624
korea,2000,85+,male,39715
korea,2000,85+,female,133491
korea,2005,0-4,male,1237301
korea,2005,0-4,female,1145049
korea,2005,5-9,male,1654228
korea,2005,5-9,female,1514659
korea,2005,10-14,male,1816328
korea,2005,10-14,female,1618573
korea,2005,15-19,male,1626378
korea,2005,15-19,female,1474145
korea,2005,20-24,male,1915902
korea,2005,20-24,female,1746221
korea,2005,25-29,male,1858332
korea,2005,25-29,female,1813515
korea,2005,30-34,male,2059913
korea,2005,30-34,female,2036369
korea,2005,35-39,male,2065668
korea,2005,35-39,female,2047117
korea,2005,40-44,male,2082427
korea,2005,40-44,female,2040614
korea,2005,45-49,male,1961859
korea,2005,45-49,female,1939040
korea,2005,50-54,male,1426597
korea,2005,50-54,female,1428700
korea,2005,55-59,male,1126997
korea,2005,55-59,female,1151441
korea,2005,60-64,male,897384
korea,2005,60-64,female,991469
korea,2005,65-69,male,755949
korea,2005,65-69,female,924118
korea,2005,70-74,male,514241
korea,2005,70-74,female,738493
korea,2005,75-79,male,270632
korea,2005,75-79,female,496238
korea,2005,80-84,male,136705
korea,2005,80-84,female,295554
korea,2005,85+,male,58819
korea,2005,85+,female,174469
korea,2010,0-4,male,1142220
korea,2010,0-4,female,1076864
korea,2010,5-9,male,1243294
korea,2010,5-9,female,1151369
korea,2010,10-14,male,1654964
korea,2010,10-14,female,1518262
korea,2010,15-19,male,1826179
korea,2010,15-19,female,1612235
korea,2010,20-24,male,1625371
korea,2010,20-24,female,1430049
korea,2010,25-29,male,1802805
korea,2010,25-29,female,1736144
korea,2010,30-34,male,1866397
korea,2010,30-34,female,1828951
korea,2010,35-39,male,2060233
korea,2010,35-39,female,2038914
korea,2010,40-44,male,2071431
korea,2010,40-44,female,2059992
korea,2010,45-49,male,2044641
korea,2010,45-49,female,2028717
korea,2010,50-54,male,1887973
korea,2010,50-54,female,1910158
korea,2010,55-59,male,1360747
korea,2010,55-59,female,1405948
korea,2010,60-64,male,1057035
korea,2010,60-64,female,1125201
korea,2010,65-69,male,833242
korea,2010,65-69,female,978926
korea,2010,70-74,male,672894
korea,2010,70-74,female,893120
korea,2010,75-79,male,410726
korea,2010,75-79,female,673641
korea,2010,80-84,male,186008
korea,2010,80-84,female,409501
korea,2010,85+,male,94736
korea,2010,85+,female,271873
japan,1925,0-4,male,4160479
japan,1925,0-4,female,4104104
japan,1925,5-9,male,3491171
japan,1925,5-9,female,3433261
japan,1925,10-14,male,3410991
japan,1925,10-14,female,3324039
japan,1925,15-19,male,2988370
japan,1925,15-19,female,2896907
japan,1925,20-24,male,2574799
japan,1925,20-24,female,2485728
japan,1925,25-29,male,2256502
japan,1925,25-29,female,2136969
japan,1925,30-34,male,1920177
japan,1925,30-34,female,1795910
japan,1925,35-39,male,1768538
japan,1925,35-39,female,1680839
japan,1925,40-44,male,1624224
japan,1925,40-44,female,1597541
japan,1925,45-49,male,1539488
japan,1925,45-49,female,1515661
japan,1925,50-54,male,1223831
japan,1925,50-54,female,1227072
japan,1925,55-59,male,981235
japan,1925,55-59,female,1009582
japan,1925,60-64,male,754000
japan,1925,60-64,female,814341
japan,1925,65-69,male,601475
japan,1925,65-69,female,692865
japan,1925,70-74,male,403555
japan,1925,70-74,female,515625
japan,1925,75-79,male,213632
japan,1925,75-79,female,309382
japan,1925,80-84,male,79096
japan,1925,80-84,female,136738
japan,1925,85+,male,21546
japan,1925,85+,female,47149
japan,1930,0-4,male,4543442
japan,1930,0-4,female,4467693
japan,1930,5-9,male,3914786
japan,1930,5-9,female,3852299
japan,1930,10-14,male,3436560
japan,1930,10-14,female,3364485
japan,1930,15-19,male,3318663
japan,1930,15-19,female,3220941
japan,1930,20-24,male,2815406
japan,1930,20-24,female,2716100
japan,1930,25-29,male,2480757
japan,1930,25-29,female,2354877
japan,1930,30-34,male,2175040
japan,1930,30-34,female,2038625
japan,1930,35-39,male,1856905
japan,1930,35-39,female,1727928
japan,1930,40-44,male,1687934
japan,1930,40-44,female,1598544
japan,1930,45-49,male,1525157
japan,1930,45-49,female,1521106
japan,1930,50-54,male,1410576
japan,1930,50-54,female,1420118
japan,1930,55-59,male,1085866
japan,1930,55-59,female,1130237
japan,1930,60-64,male,820315
japan,1930,60-64,female,901770
japan,1930,65-69,male,577193
japan,1930,65-69,female,678637
japan,1930,70-74,male,403984
japan,1930,70-74,female,522617
japan,1930,75-79,male,222451
japan,1930,75-79,female,329267
japan,1930,80-84,male,89183
japan,1930,80-84,female,156278
japan,1930,85+,male,25937
japan,1930,85+,female,58328
japan,1935,0-4,male,4714001
japan,1935,0-4,female,4614500
japan,1935,5-9,male,4303263
japan,1935,5-9,female,4228156
japan,1935,10-14,male,3876774
japan,1935,10-14,female,3808473
japan,1935,15-19,male,3350713
japan,1935,15-19,female,3290204
japan,1935,20-24,male,3036783
japan,1935,20-24,female,3034288
japan,1935,25-29,male,2670248
japan,1935,25-29,female,2569835
japan,1935,30-34,male,2379492
japan,1935,30-34,female,2253145
japan,1935,35-39,male,2093446
japan,1935,35-39,female,1952400
japan,1935,40-44,male,1767627
japan,1935,40-44,female,1638384
japan,1935,45-49,male,1591179
japan,1935,45-49,female,1521655
japan,1935,50-54,male,1404376
japan,1935,50-54,female,1428499
japan,1935,55-59,male,1255092
japan,1935,55-59,female,1316045
japan,1935,60-64,male,916820
japan,1935,60-64,female,1013791
japan,1935,65-69,male,630008
japan,1935,65-69,female,757084
japan,1935,70-74,male,394223
japan,1935,70-74,female,519200
japan,1935,75-79,male,224829
japan,1935,75-79,female,336975
japan,1935,80-84,male,95043
japan,1935,80-84,female,168936
japan,1935,85+,male,30216
japan,1935,85+,female,68445
japan,1940,0-4,male,4619512
japan,1940,0-4,female,4508497
japan,1940,5-9,male,4463439
japan,1940,5-9,female,4370159
japan,1940,10-14,male,4242585
japan,1940,10-14,female,4164516
japan,1940,15-19,male,3717483
japan,1940,15-19,female,3691794
japan,1940,20-24,male,3057395
japan,1940,20-24,female,3046258
japan,1940,25-29,male,2837267
japan,1940,25-29,female,2815917
japan,1940,30-34,male,2507243
japan,1940,30-34,female,2440013
japan,1940,35-39,male,2260747
japan,1940,35-39,female,2162140
japan,1940,40-44,male,1976906
japan,1940,40-44,female,1857152
japan,1940,45-49,male,1649661
japan,1940,45-49,female,1557551
japan,1940,50-54,male,1456632
japan,1940,50-54,female,1430587
japan,1940,55-59,male,1240737
japan,1940,55-59,female,1318804
japan,1940,60-64,male,1049207
japan,1940,60-64,female,1178205
japan,1940,65-69,male,702545
japan,1940,65-69,female,852617
japan,1940,70-74,male,421186
japan,1940,70-74,female,573720
japan,1940,75-79,male,215952
japan,1940,75-79,female,330456
japan,1940,80-84,male,90602
japan,1940,80-84,female,163525
japan,1940,85+,male,31023
japan,1940,85+,female,72076
japan,1945,0-4,male,4682797
japan,1945,0-4,female,4567621
japan,1945,5-9,male,4338961
japan,1945,5-9,female,4242440
japan,1945,10-14,male,4365844
japan,1945,10-14,female,4279423
japan,1945,15-19,male,3849481
japan,1945,15-19,female,3971049
japan,1945,20-24,male,2024120
japan,1945,20-24,female,3440564
japan,1945,25-29,male,1603664
japan,1945,25-29,female,2811495
japan,1945,30-34,male,1805587
japan,1945,30-34,female,2641750
japan,1945,35-39,male,1982773
japan,1945,35-39,female,2324932
japan,1945,40-44,male,2046909
japan,1945,40-44,female,2043299
japan,1945,45-49,male,1829696
japan,1945,45-49,female,1757230
japan,1945,50-54,male,1506234
japan,1945,50-54,female,1442574
japan,1945,55-59,male,1289547
japan,1945,55-59,female,1307731
japan,1945,60-64,male,1005064
japan,1945,60-64,female,1137204
japan,1945,65-69,male,775188
japan,1945,65-69,female,957206
japan,1945,70-74,male,462867
japan,1945,70-74,female,632271
japan,1945,75-79,male,214842
japan,1945,75-79,female,337049
japan,1945,80-84,male,84073
japan,1945,80-84,female,152668
japan,1945,85+,male,26412
japan,1945,85+,female,57539
japan,1950,0-4,male,5792551
japan,1950,0-4,female,5558029
japan,1950,5-9,male,4877311
japan,1950,5-9,female,4747167
japan,1950,10-14,male,4456939
japan,1950,10-14,female,4354415
japan,1950,15-19,male,4367794
japan,1950,15-19,female,4301651
japan,1950,20-24,male,3871815
japan,1950,20-24,female,3932721
japan,1950,25-29,male,2847983
japan,1950,25-29,female,3398305
japan,1950,30-34,male,2382599
japan,1950,30-34,female,2871802
japan,1950,35-39,male,2396611
japan,1950,35-39,female,2698407
japan,1950,40-44,male,2217547
japan,1950,40-44,female,2307924
japan,1950,45-49,male,2035222
japan,1950,45-49,female,2007152
japan,1950,50-54,male,1733836
japan,1950,50-54,female,1687560
japan,1950,55-59,male,1392572
japan,1950,55-59,female,1387462
japan,1950,60-64,male,1120403
japan,1950,60-64,female,1208946
japan,1950,65-69,male,803800
japan,1950,65-69,female,986148
japan,1950,70-74,male,545748
japan,1950,70-74,female,749903
japan,1950,75-79,male,270523
japan,1950,75-79,female,423156
japan,1950,80-84,male,96600
japan,1950,80-84,female,182654
japan,1950,85+,male,29003
japan,1950,85+,female,67509
japan,1955,0-4,male,4794426
japan,1955,0-4,female,4587086
japan,1955,5-9,male,5694447
japan,1955,5-9,female,5461568
japan,1955,10-14,male,4855556
japan,1955,10-14,female,4729814
japan,1955,15-19,male,4383128
japan,1955,15-19,female,4325947
japan,1955,20-24,male,4231701
japan,1955,20-24,female,4244253
japan,1955,25-29,male,3802724
japan,1955,25-29,female,3860355
japan,1955,30-34,male,2817154
japan,1955,30-34,female,3345468
japan,1955,35-39,male,2336529
japan,1955,35-39,female,2818160
japan,1955,40-44,male,2340429
japan,1955,40-44,female,2640077
japan,1955,45-49,male,2149102
japan,1955,45-49,female,2248891
japan,1955,50-54,male,1941081
japan,1955,50-54,female,1935698
japan,1955,55-59,male,1617760
japan,1955,55-59,female,1610602
japan,1955,60-64,male,1235983
japan,1955,60-64,female,1281573
japan,1955,65-69,male,925400
japan,1955,65-69,female,1057199
japan,1955,70-74,male,593776
japan,1955,70-74,female,798886
japan,1955,75-79,male,342059
japan,1955,75-79,female,533642
japan,1955,80-84,male,133192
japan,1955,80-84,female,244595
japan,1955,85+,male,39681
japan,1955,85+,female,94441
japan,1960,0-4,male,4073749
japan,1960,0-4,female,3891079
japan,1960,5-9,male,4770578
japan,1960,5-9,female,4568563
japan,1960,10-14,male,5677909
japan,1960,10-14,female,5452281
japan,1960,15-19,male,4713854
